N    Voltage/V   Temperature/K   dV/dT(mV/K)
1     0.4852          352.0          2.2
2     0.5003          345.0          2.6
3     0.5131          340.1          2.6
4     0.5256          335.3          2.6
5     0.5387          330.2          2.6
6     0.5519          325.1          2.1
7     0.5624          320.1          2.0
8     0.5727          315.0          2.1
9     0.5832          310.0          2.1
10    0.5922          305.8          2.0
11    0.6037          300.1          2.2
12    0.6149          295.0          2.0
13    0.6247          290.0          1.9
14    0.6332          285.5          2.1
15    0.6445          280.0          2.0
16    0.6547          275.0          2.0
17    0.6646          270.2          2.0
18    0.6748          265.1          2.0
19    0.6844          260.4          2.0
20    0.6948          255.2          2.0
21    0.704           250.7          2.0
22    0.7149          245.3          2.0
23    0.7253          240.1          2.0
24    0.7347          235.3          2.0
25    0.7443          230.5          2.0
26    0.7543          225.4          2.0
27    0.7641          220.5          2.0
28    0.7742          215.3          2.0
29    0.7841          210.3          1.9
30    0.7936          205.4          1.9
31    0.8035          200.3          1.9
32    0.8137          195.0          1.9
33    0.8225          190.4          1.9
34    0.8326          185.2          1.9
35    0.842           180.2          1.9
36    0.8517          175.0          1.9
37    0.8607          170.3          1.9
38    0.8699          165.3          1.9
39    0.8793          160.2          1.8
40    0.8889          155.0          1.8
41    0.8976          150.3          1.8
42    0.9065          145.4          1.8
43    0.9155          140.4          1.8
44    0.9246          135.3          1.8
45    0.9339          130.0          1.8
46    0.9422          125.3          1.7
47    0.9505          120.6          1.7
48    0.96            115.0          1.7
49    0.9685          110.1          1.7
50    0.977           105.0          1.7
51    0.9844          100.6          1.6
52    0.993           95.4           1.6
53    1.0017          90.1           1.6
54    1.0093          85.4           1.6
55    1.0168          80.6           1.6
56    1.0207          78.1           1.5
57    1.0219          77.3           1.6
58    1.0245          75.7           1.5
59    1.0322          70.6           1.5
60    1.04            65.4           1.5
61    1.0453          61.7           1.4
62    1.052           57.0           1.3
63    1.0631          48.8           1.2
64    1.0689          44.1           1.2
65    1.0719          41.5           1.1
66    1.0751          38.7           1.1
67    1.0784          35.6           1.0
68    1.0814          32.6           0.7
69    1.0824          31.3           1.4
70    1.084           30.1           1.1
71    1.0853          28.9           1.0
72    1.0859          28.3           1.2
73    1.0882          26.4           1.6
74    1.0926          23.7           5.0
75    1.1104          20.1           12.8
76    1.1386          17.9           15.2
77    1.16            16.5           15.2
78    1.1702          15.8           16.1
79    1.1903          14.5           17.4
80    1.2098          13.4           19.5
81    1.2285          12.5           20.7
82    1.2538          11.2           22.6
83    1.2762          10.3           26.1
84    1.3047          9.2            33.3
85    1.3427          8.0            40.0
86    1.3823          7.0            40.9
87    1.4044          6.5            39.5
88    1.4297          5.9            37.2
89    1.452           5.3            33.3
90    1.4653          4.9            31.2
91    1.4756          4.5            30.5
92    1.482           4.3            28.6
93    1.484           4.2            26.5
94    1.4893          4.0            25.7
95    1.4952          3.8            23.8
96    1.5021          3.5            21.4
97    1.5081          3.2            20.0
98    1.5117          3.1            18.5
99    1.5165          2.8            11.3
100   1.5208          2.4            -628.4
